Serial,Gas_Concentration(ppm),Temperature(°C),Pressure(psi),Thermal_Gradient(°C/m),Acoustic_Amplitude(dB),Acoustic_Frequency(Hz),Flow_Rate(L/min),Segment,Leak_Type,Leak_Status
4741,0.65,25.81,100.41,0.03,10.41,58.75,60.71,1,Non-Leak,0
4742,198.99,22.67,83.94,0.76,34.76,343.4,54.06,2,Small,1
4743,0.65,25.51,100.02,0.05,9.68,52.79,60.87,3,Non-Leak,0
4744,671.62,20.87,75.33,1.75,50.37,645.9,52.42,4,Medium,1
4745,0.71,25.38,100.73,0.07,10.09,55.41,61.02,5,Non-Leak,0
4746,1139.95,18.86,61.79,2.52,73.25,771.15,44.11,6,Large,1
4747,0.76,25.83,100.28,0.05,10.44,56.84,60.87,7,Non-Leak,0
4748,196.94,22.84,84.41,0.8,31.93,313.36,54.93,8,Small,1
4749,0.5,25.65,100.51,0.03,9.86,51.15,60.92,9,Non-Leak,0
4750,717.36,20.95,75.77,1.56,50.73,631.61,52.06,10,Medium,1
4751,0.7,24.93,100.58,0.03,9.64,50.9,60.97,11,Non-Leak,0
4752,1113.34,19.13,61.24,2.7,75.89,798.32,43.99,12,Large,1
4753,0.75,25.8,100.88,0.04,10.21,58.01,61.1,1,Non-Leak,0
4754,179.19,22.56,83.01,0.85,30.42,314.04,55.48,2,Small,1
4755,0.6,25.68,100.28,0.06,10.66,54.19,61.05,3,Non-Leak,0
4756,719.21,21.06,75.74,1.61,51.5,607.22,53.34,4,Medium,1
4757,0.87,25.18,100.85,0.03,9.88,50.34,60.92,5,Non-Leak,0
4758,1055.4,19.33,61.27,2.46,75.83,801.2,44.1,6,Large,1
4759,0.55,25.14,100.34,0.04,9.62,53.49,60.94,7,Non-Leak,0
4760,190.36,22.98,84.19,0.88,33.95,330.49,54.94,8,Small,1
4761,0.88,25.74,100.75,0.06,10.18,59.33,60.93,9,Non-Leak,0
4762,670.87,21.42,76.62,1.57,50.78,600.15,52.31,10,Medium,1
4763,0.68,25.79,100.6,0.06,9.95,52.34,60.88,11,Non-Leak,0
4764,1023.39,19.19,59.8,2.56,73.78,840.06,43.88,12,Large,1
4765,0.7,25.2,100.21,0.05,9.69,51.14,61.05,1,Non-Leak,0
4766,175.57,22.39,84.78,0.87,33.36,358.43,54.86,2,Small,1
4767,0.58,25.85,100.54,0.05,10.69,52.36,60.71,3,Non-Leak,0
4768,685.69,20.61,76.07,1.52,51.38,627.8,52.48,4,Medium,1
4769,0.71,25.01,100.48,0.04,9.23,51.39,60.76,5,Non-Leak,0
4770,1138.75,19.31,61.72,2.69,72.18,790.52,45.09,6,Large,1
4771,0.33,25.44,100.52,0.07,9.56,59.72,60.97,7,Non-Leak,0
4772,160.68,22.42,84.17,0.82,31.05,349.57,55.16,8,Small,1
4773,0.86,25.36,100.56,0.04,9.95,50.02,60.97,9,Non-Leak,0
4774,670.4,21.28,77.52,1.63,50.86,635.78,53.2,10,Medium,1
4775,0.46,25.28,100.75,0.06,10.31,51.07,61.0,11,Non-Leak,0
4776,1067.42,19.87,60.9,2.42,75.75,813.3,44.51,12,Large,1
4777,0.37,24.99,100.74,0.03,9.87,58.97,61.07,1,Non-Leak,0
4778,150.13,22.28,84.93,0.73,33.55,328.14,54.79,2,Small,1
4779,0.31,25.41,100.05,0.06,9.93,50.97,61.06,3,Non-Leak,0
4780,683.17,21.57,76.84,1.75,50.51,644.49,53.41,4,Medium,1
4781,0.73,25.72,100.1,0.06,9.58,59.81,61.07,5,Non-Leak,0
4782,1023.01,18.77,61.93,2.44,73.67,773.46,44.62,6,Large,1
4783,0.33,24.77,100.43,0.07,9.22,51.33,61.03,7,Non-Leak,0
4784,185.45,22.25,83.67,0.88,33.12,353.33,55.55,8,Small,1
4785,0.78,25.03,100.88,0.05,9.69,53.03,60.83,9,Non-Leak,0
4786,655.77,21.01,76.29,1.66,50.35,642.49,52.16,10,Medium,1
4787,0.89,25.1,100.15,0.05,10.33,52.11,60.9,11,Non-Leak,0
4788,1050.66,19.16,59.03,2.79,72.15,813.43,46.0,12,Large,1
4789,0.49,24.96,100.09,0.06,10.27,58.82,60.85,1,Non-Leak,0
4790,181.87,22.32,84.83,0.83,32.5,310.98,54.38,2,Small,1
4791,0.4,24.72,100.4,0.03,10.12,54.66,60.71,3,Non-Leak,0
4792,680.96,21.08,77.47,1.75,50.54,619.25,52.17,4,Medium,1
4793,0.83,25.83,100.83,0.04,10.7,50.02,61.0,5,Non-Leak,0
4794,1018.5,19.76,59.01,2.68,75.08,789.45,43.8,6,Large,1
4795,0.76,24.75,100.91,0.04,10.79,59.38,60.87,7,Non-Leak,0
4796,188.55,22.73,84.85,0.79,34.52,340.0,55.27,8,Small,1
4797,0.77,25.53,100.02,0.05,10.12,55.6,60.73,9,Non-Leak,0
4798,662.45,20.96,76.21,1.66,50.44,617.38,52.59,10,Medium,1
4799,0.59,25.24,100.58,0.07,10.86,58.82,60.85,11,Non-Leak,0
4800,1141.71,18.65,59.73,2.56,72.28,849.72,45.08,12,Large,1
4801,0.88,25.3,100.56,0.06,10.2,55.71,61.08,1,Non-Leak,0
4802,185.66,22.87,84.69,0.89,34.79,331.47,55.63,2,Small,1
4803,0.54,24.97,100.47,0.04,10.07,51.76,60.9,3,Non-Leak,0
4804,677.47,20.95,76.09,1.55,50.48,628.66,52.86,4,Medium,1
4805,0.33,25.88,100.77,0.03,9.22,56.54,60.92,5,Non-Leak,0
4806,1049.92,19.38,61.86,2.68,75.64,786.5,44.61,6,Large,1
4807,0.81,24.98,100.49,0.07,9.26,52.96,60.83,7,Non-Leak,0
4808,163.49,22.62,83.64,0.71,30.94,326.49,55.18,8,Small,1
4809,0.48,24.87,100.16,0.04,10.85,59.74,60.84,9,Non-Leak,0
4810,678.19,20.67,76.0,1.54,51.61,642.3,52.41,10,Medium,1
4811,0.71,25.15,100.04,0.05,9.61,56.68,60.72,11,Non-Leak,0
4812,1019.37,18.32,60.95,2.72,73.01,804.08,44.89,12,Large,1
4813,0.51,25.21,100.58,0.05,10.43,51.42,60.91,1,Non-Leak,0
4814,193.08,22.9,83.81,0.8,32.17,314.49,54.78,2,Small,1
4815,0.79,25.77,100.48,0.03,10.88,56.58,60.92,3,Non-Leak,0
4816,700.82,21.18,77.34,1.62,50.28,630.87,52.92,4,Medium,1
4817,0.41,25.67,100.65,0.06,10.61,58.4,60.86,5,Non-Leak,0
4818,1212.93,18.12,59.21,2.67,73.33,789.5,43.75,6,Large,1
4819,0.49,25.08,100.05,0.05,9.33,53.73,60.72,7,Non-Leak,0
4820,161.42,22.95,84.91,0.74,30.0,331.95,54.77,8,Small,1
4821,0.9,24.99,100.38,0.04,9.75,51.75,60.87,9,Non-Leak,0
4822,689.46,21.37,76.42,1.73,50.78,605.71,53.47,10,Medium,1
4823,0.7,24.96,100.22,0.07,9.99,58.56,61.09,11,Non-Leak,0
4824,1050.62,18.01,59.26,2.39,74.35,775.23,45.88,12,Large,1
4825,0.78,25.09,100.57,0.06,9.51,51.02,60.8,1,Non-Leak,0
4826,196.0,22.93,84.36,0.86,30.79,333.9,54.84,2,Small,1
4827,0.61,25.71,100.15,0.07,9.61,55.89,60.86,3,Non-Leak,0
4828,668.88,21.3,75.59,1.62,50.71,600.81,53.17,4,Medium,1
4829,0.65,25.61,100.59,0.05,10.61,55.8,60.93,5,Non-Leak,0
4830,1120.31,19.13,60.81,2.5,72.34,813.14,45.61,6,Large,1
4831,0.5,25.04,100.71,0.07,10.74,54.44,60.72,7,Non-Leak,0
4832,157.61,22.25,83.69,0.82,33.24,348.11,54.69,8,Small,1
4833,0.46,25.09,100.94,0.03,9.38,54.61,60.92,9,Non-Leak,0
4834,716.79,20.86,76.63,1.76,51.83,621.94,53.3,10,Medium,1
4835,0.54,25.13,100.15,0.04,9.82,52.44,61.08,11,Non-Leak,0
4836,1029.77,19.49,61.64,2.56,75.42,820.32,44.7,12,Large,1
4837,0.51,25.52,100.3,0.05,10.64,59.05,60.9,1,Non-Leak,0
4838,186.63,22.97,83.8,0.76,33.14,341.47,55.22,2,Small,1
4839,0.75,25.87,100.97,0.06,9.59,56.89,60.83,3,Non-Leak,0
4840,671.73,21.46,76.4,1.51,50.63,612.76,52.73,4,Medium,1
4841,0.6,24.8,100.03,0.04,10.61,55.01,61.02,5,Non-Leak,0
4842,1156.58,18.82,60.41,2.78,73.38,840.12,44.58,6,Large,1
4843,0.43,25.5,100.39,0.05,10.24,50.44,60.99,7,Non-Leak,0
4844,155.67,22.89,83.74,0.89,34.69,350.67,55.99,8,Small,1
4845,0.41,24.96,100.32,0.06,9.54,59.37,60.89,9,Non-Leak,0
4846,689.37,20.96,77.48,1.74,50.87,618.2,53.41,10,Medium,1
4847,0.48,24.82,100.57,0.05,10.02,54.04,61.04,11,Non-Leak,0
4848,1193.97,18.3,61.56,2.8,75.84,832.35,44.65,12,Large,1
4849,0.52,25.36,100.01,0.03,10.36,52.19,60.94,1,Non-Leak,0
4850,177.3,22.74,84.63,0.83,33.48,344.64,55.44,2,Small,1
4851,0.6,24.76,100.69,0.06,9.59,56.71,60.94,3,Non-Leak,0
4852,683.3,21.54,76.48,1.7,51.96,605.29,52.39,4,Medium,1
4853,0.85,25.47,100.59,0.05,10.32,52.05,61.06,5,Non-Leak,0
4854,1203.94,19.33,60.46,2.7,72.3,785.76,44.03,6,Large,1
4855,0.47,24.73,100.61,0.03,9.43,52.48,60.75,7,Non-Leak,0
4856,156.18,22.41,84.09,0.76,30.86,312.85,55.21,8,Small,1
4857,0.69,25.03,100.78,0.06,9.42,57.41,60.77,9,Non-Leak,0
4858,668.97,21.42,76.3,1.61,50.06,614.79,53.1,10,Medium,1
4859,0.46,25.52,100.81,0.05,10.0,58.28,60.75,11,Non-Leak,0
4860,1200.43,19.43,61.83,2.33,73.46,844.02,45.01,12,Large,1
4861,0.74,25.51,100.93,0.03,10.81,58.17,60.72,1,Non-Leak,0
4862,183.46,22.51,83.53,0.84,30.73,338.19,55.27,2,Small,1
4863,0.36,25.78,100.14,0.04,10.2,57.39,60.79,3,Non-Leak,0
4864,664.76,20.91,75.84,1.68,50.8,649.25,52.58,4,Medium,1
4865,0.52,24.85,100.09,0.07,10.39,52.14,60.89,5,Non-Leak,0
4866,1097.89,19.04,59.27,2.65,74.54,832.29,43.81,6,Large,1
4867,0.82,24.84,100.94,0.05,10.07,56.12,60.87,7,Non-Leak,0
4868,162.84,22.78,83.14,0.87,31.04,346.14,55.32,8,Small,1
4869,0.83,25.04,100.53,0.06,10.9,57.85,60.8,9,Non-Leak,0
4870,710.38,21.48,76.52,1.6,50.21,648.61,53.25,10,Medium,1
4871,0.8,25.22,100.09,0.05,9.31,55.45,60.88,11,Non-Leak,0
4872,1010.84,19.3,59.73,2.75,75.35,810.97,44.15,12,Large,1
4873,0.55,25.14,100.91,0.06,10.21,54.91,60.99,1,Non-Leak,0
4874,195.55,22.56,83.98,0.78,31.4,323.44,54.62,2,Small,1
4875,0.37,25.8,100.54,0.06,10.88,51.1,60.79,3,Non-Leak,0
4876,704.66,20.92,76.64,1.56,51.6,608.8,53.15,4,Medium,1
4877,0.48,24.81,100.31,0.04,9.29,55.47,61.01,5,Non-Leak,0
4878,1035.52,19.04,60.64,2.51,73.15,825.82,45.19,6,Large,1
4879,0.31,25.31,100.53,0.05,9.43,52.97,60.74,7,Non-Leak,0
4880,178.75,22.68,84.25,0.9,32.76,342.33,54.1,8,Small,1
4881,0.74,25.19,100.88,0.05,10.54,56.07,60.76,9,Non-Leak,0
4882,680.38,20.68,76.7,1.5,50.72,606.22,52.41,10,Medium,1
4883,0.36,25.62,100.68,0.03,9.63,55.49,60.89,11,Non-Leak,0
4884,1137.9,18.56,61.71,2.57,72.97,776.59,45.61,12,Large,1
4885,0.6,24.9,100.59,0.05,10.51,59.41,60.95,1,Non-Leak,0
4886,173.78,22.72,83.28,0.81,30.35,330.64,54.93,2,Small,1
4887,0.51,25.59,100.32,0.07,10.37,55.48,60.71,3,Non-Leak,0
4888,665.19,21.54,75.41,1.74,50.89,631.35,53.19,4,Medium,1
4889,0.71,25.71,100.56,0.03,9.35,56.32,61.1,5,Non-Leak,0
4890,1006.28,19.12,60.77,2.43,72.55,809.86,43.83,6,Large,1
4891,0.62,24.77,100.62,0.04,10.45,57.82,60.83,7,Non-Leak,0
4892,161.68,22.29,84.88,0.8,34.22,326.44,54.35,8,Small,1
4893,0.34,25.85,100.48,0.05,9.7,53.51,60.89,9,Non-Leak,0
4894,651.43,20.73,75.97,1.69,50.74,641.13,53.26,10,Medium,1
4895,0.43,25.01,100.46,0.06,10.4,52.18,60.79,11,Non-Leak,0
4896,1139.82,18.87,61.08,2.45,73.45,773.28,44.61,12,Large,1
4897,0.6,25.68,100.14,0.06,9.97,51.16,60.82,1,Non-Leak,0
4898,194.04,22.48,83.94,0.75,31.98,332.76,54.38,2,Small,1
4899,0.87,24.88,100.9,0.04,9.96,58.29,61.01,3,Non-Leak,0
4900,692.66,21.0,76.06,1.6,50.5,647.54,52.32,4,Medium,1
4901,0.68,25.2,100.03,0.07,9.82,57.17,60.95,5,Non-Leak,0
4902,1196.31,19.67,59.84,2.61,72.06,828.53,43.99,6,Large,1
4903,0.35,24.74,100.2,0.05,10.8,51.36,60.71,7,Non-Leak,0
4904,168.71,22.63,83.89,0.76,34.55,357.3,54.39,8,Small,1
4905,0.89,24.77,100.23,0.05,10.92,50.44,60.91,9,Non-Leak,0
4906,708.94,20.68,75.64,1.71,51.96,601.39,53.24,10,Medium,1
4907,0.33,25.56,100.29,0.03,9.06,56.75,61.05,11,Non-Leak,0
4908,1098.88,18.94,61.55,2.51,74.39,803.24,44.24,12,Large,1
4909,0.58,25.18,100.97,0.04,9.35,52.23,60.84,1,Non-Leak,0
4910,189.8,22.34,84.78,0.79,30.18,333.82,54.64,2,Small,1
4911,0.84,25.52,100.1,0.06,9.55,51.97,60.75,3,Non-Leak,0
4912,716.48,21.47,77.7,1.64,50.49,646.11,53.06,4,Medium,1
4913,0.5,24.74,100.05,0.06,10.64,56.76,61.05,5,Non-Leak,0
4914,1209.28,19.67,59.97,2.35,72.87,815.63,45.46,6,Large,1
4915,0.42,24.91,100.7,0.05,9.79,57.3,60.77,7,Non-Leak,0
4916,164.63,22.27,84.94,0.87,34.43,323.29,55.53,8,Small,1
4917,0.77,25.35,100.47,0.03,10.32,57.68,60.97,9,Non-Leak,0
4918,689.41,21.51,76.32,1.79,50.94,617.37,52.44,10,Medium,1
4919,0.84,25.57,100.68,0.06,10.99,52.17,61.0,11,Non-Leak,0
4920,1182.55,18.8,60.53,2.34,72.71,823.01,45.72,12,Large,1
4921,0.81,24.75,100.44,0.04,10.19,52.95,60.8,1,Non-Leak,0
4922,175.68,22.91,83.11,0.73,34.54,356.62,54.5,2,Small,1
4923,0.39,25.3,100.3,0.03,9.71,51.76,60.85,3,Non-Leak,0
4924,714.85,21.52,76.66,1.6,51.07,610.75,52.67,4,Medium,1
4925,0.72,25.67,100.13,0.04,10.47,56.56,60.75,5,Non-Leak,0
4926,1124.92,18.51,59.88,2.64,74.28,825.01,45.95,6,Large,1
4927,0.43,25.19,100.62,0.06,10.16,59.56,60.99,7,Non-Leak,0
4928,165.1,22.85,84.85,0.71,32.34,320.05,55.53,8,Small,1
4929,0.69,25.37,100.39,0.04,9.08,51.02,60.79,9,Non-Leak,0
4930,670.87,21.27,76.18,1.54,50.8,624.1,52.27,10,Medium,1
4931,0.57,24.89,100.73,0.03,10.57,51.59,61.0,11,Non-Leak,0
4932,1183.82,18.46,61.25,2.37,74.81,830.36,45.12,12,Large,1
4933,0.51,25.84,100.83,0.06,9.33,55.51,61.06,1,Non-Leak,0
4934,166.28,22.59,83.91,0.76,32.1,354.09,55.68,2,Small,1
4935,0.67,25.63,100.46,0.05,10.14,57.87,61.05,3,Non-Leak,0
4936,664.13,20.87,75.92,1.71,51.44,634.72,52.05,4,Medium,1
4937,0.62,25.2,100.25,0.04,10.28,58.6,60.88,5,Non-Leak,0
4938,1127.86,18.69,61.78,2.31,73.68,806.59,43.83,6,Large,1
4939,0.67,25.3,100.47,0.03,9.96,58.36,60.76,7,Non-Leak,0
4940,197.05,22.45,84.23,0.8,34.32,311.5,54.8,8,Small,1
4941,0.57,25.69,100.7,0.04,9.05,53.83,60.76,9,Non-Leak,0
4942,698.07,21.18,75.06,1.68,51.08,618.32,52.63,10,Medium,1
4943,0.69,25.84,100.72,0.06,9.49,58.06,60.87,11,Non-Leak,0
4944,1115.62,18.02,60.01,2.63,75.73,819.77,44.49,12,Large,1
4945,0.64,24.77,100.39,0.06,10.78,51.75,60.78,1,Non-Leak,0
4946,170.99,22.5,83.97,0.88,30.1,325.83,54.81,2,Small,1
4947,0.75,25.64,100.06,0.06,9.96,54.41,60.96,3,Non-Leak,0
4948,653.36,21.05,76.44,1.53,50.92,636.75,52.99,4,Medium,1
4949,0.88,24.95,100.42,0.04,10.77,55.2,60.98,5,Non-Leak,0
4950,1079.88,19.31,60.29,2.66,75.5,777.9,44.61,6,Large,1
4951,0.37,25.73,100.04,0.07,9.65,58.15,60.94,7,Non-Leak,0
4952,191.0,22.76,84.6,0.7,34.3,325.26,55.63,8,Small,1
4953,0.5,25.27,100.12,0.06,10.1,54.06,60.98,9,Non-Leak,0
4954,699.36,20.74,77.95,1.64,50.16,639.62,52.19,10,Medium,1
4955,0.61,25.34,100.68,0.06,9.4,52.35,60.82,11,Non-Leak,0
4956,1180.1,19.29,59.35,2.77,73.06,825.71,44.22,12,Large,1
4957,0.33,25.7,100.03,0.07,10.52,58.63,61.01,1,Non-Leak,0
4958,173.34,22.82,83.99,0.89,31.32,328.39,55.72,2,Small,1
4959,0.57,25.87,100.54,0.05,9.49,55.38,60.84,3,Non-Leak,0
4960,702.06,21.15,76.47,1.55,50.22,639.19,52.77,4,Medium,1
4961,0.67,25.34,100.85,0.07,10.72,53.26,60.82,5,Non-Leak,0
4962,1058.91,19.69,61.28,2.73,75.87,832.35,45.65,6,Large,1
4963,0.78,25.61,100.48,0.05,10.81,52.36,61.0,7,Non-Leak,0
4964,169.41,22.21,83.94,0.85,32.16,313.33,55.08,8,Small,1
4965,0.85,24.85,100.52,0.05,10.13,53.19,60.72,9,Non-Leak,0
4966,659.46,21.4,75.2,1.75,51.47,627.87,52.06,10,Medium,1
4967,0.83,25.51,100.72,0.04,10.62,53.93,60.82,11,Non-Leak,0
4968,1204.65,19.81,61.0,2.64,74.48,786.1,43.63,12,Large,1
4969,0.68,25.76,100.2,0.04,10.51,54.53,60.97,1,Non-Leak,0
4970,164.61,22.9,83.63,0.76,34.76,351.84,55.88,2,Small,1
4971,0.83,25.38,100.02,0.05,10.89,52.48,61.03,3,Non-Leak,0
4972,705.0,20.76,77.47,1.71,50.76,638.81,52.73,4,Medium,1
4973,0.8,25.68,100.93,0.04,9.89,56.67,60.97,5,Non-Leak,0
4974,1147.59,18.02,61.72,2.8,74.59,802.64,44.48,6,Large,1
4975,0.64,25.9,100.83,0.05,9.1,55.58,60.82,7,Non-Leak,0
4976,154.78,22.54,83.05,0.72,34.79,353.93,54.64,8,Small,1
4977,0.76,25.19,100.0,0.05,9.06,50.72,60.92,9,Non-Leak,0
4978,694.13,20.79,77.77,1.74,51.56,627.22,52.39,10,Medium,1
4979,0.88,24.7,100.27,0.04,9.62,59.27,60.78,11,Non-Leak,0
4980,1097.96,19.44,61.91,2.45,75.24,817.98,45.89,12,Large,1
4981,0.51,25.14,100.33,0.06,9.86,56.9,60.97,1,Non-Leak,0
4982,187.08,22.47,83.68,0.89,34.31,319.31,54.33,2,Small,1
4983,0.87,25.48,100.26,0.06,9.98,58.9,60.9,3,Non-Leak,0
4984,674.99,21.21,75.61,1.75,51.11,628.58,53.39,4,Medium,1
4985,0.65,25.28,100.04,0.05,9.79,58.43,60.81,5,Non-Leak,0
4986,1052.37,18.2,60.02,2.71,72.21,793.68,44.88,6,Large,1
4987,0.61,25.68,100.38,0.05,9.58,52.73,60.75,7,Non-Leak,0
4988,180.29,22.58,83.55,0.89,32.53,359.27,55.71,8,Small,1
4989,0.59,25.59,100.95,0.07,9.17,54.59,61.07,9,Non-Leak,0
4990,670.84,21.32,77.79,1.78,51.92,609.06,52.79,10,Medium,1
4991,0.74,25.6,100.1,0.07,9.38,52.33,60.99,11,Non-Leak,0
4992,1126.07,18.59,60.0,2.56,75.76,817.46,45.1,12,Large,1
4993,0.82,25.37,100.35,0.04,10.38,52.01,60.84,1,Non-Leak,0
4994,153.86,22.93,84.62,0.86,34.29,319.07,54.28,2,Small,1
4995,0.68,24.88,100.39,0.04,10.06,52.2,61.03,3,Non-Leak,0
4996,670.38,20.7,76.45,1.56,51.52,637.96,52.78,4,Medium,1
4997,0.77,25.0,100.27,0.04,10.38,55.13,60.72,5,Non-Leak,0
4998,1206.31,19.75,61.93,2.67,75.51,791.27,43.83,6,Large,1
4999,0.32,25.47,100.49,0.05,10.56,53.93,60.89,7,Non-Leak,0
5000,174.04,22.58,83.62,0.82,33.03,333.57,54.24,8,Small,1
5001,0.56,24.76,100.41,0.05,9.7,58.36,60.91,9,Non-Leak,0
5002,701.32,21.15,77.78,1.54,51.85,635.39,53.37,10,Medium,1
5003,0.37,25.1,100.3,0.06,10.52,51.95,60.96,11,Non-Leak,0
5004,1117.79,19.8,61.13,2.34,72.13,842.49,43.62,12,Large,1
5005,0.33,25.86,100.44,0.06,9.43,58.17,61.05,1,Non-Leak,0
5006,185.88,22.88,83.61,0.7,31.37,353.3,55.62,2,Small,1
5007,0.35,25.06,100.38,0.07,9.16,59.89,61.04,3,Non-Leak,0
5008,693.47,21.59,77.15,1.52,50.23,647.57,53.17,4,Medium,1
5009,0.48,25.78,100.04,0.04,10.75,54.74,60.83,5,Non-Leak,0
5010,1062.96,18.28,59.56,2.32,73.21,778.14,45.21,6,Large,1
5011,0.32,25.8,100.78,0.06,9.6,57.75,60.8,7,Non-Leak,0
5012,152.2,22.83,84.22,0.8,32.87,331.96,55.74,8,Small,1
5013,0.8,25.56,100.68,0.06,9.9,59.52,60.88,9,Non-Leak,0
5014,692.77,21.02,77.35,1.76,50.78,638.56,52.52,10,Medium,1
5015,0.66,25.25,100.1,0.05,10.58,53.64,60.72,11,Non-Leak,0
5016,1098.55,19.36,59.04,2.39,75.86,770.85,44.2,12,Large,1
5017,0.83,25.03,100.14,0.07,10.44,54.94,60.72,1,Non-Leak,0
5018,160.38,22.72,84.04,0.78,31.22,325.15,54.83,2,Small,1
5019,0.85,25.38,100.04,0.06,10.33,56.66,60.8,3,Non-Leak,0
5020,707.93,21.5,75.35,1.67,50.9,623.36,53.05,4,Medium,1
5021,0.73,25.61,100.84,0.07,10.42,53.07,60.87,5,Non-Leak,0
5022,1079.03,19.52,60.78,2.48,73.72,776.24,45.08,6,Large,1
5023,0.52,25.51,100.88,0.06,10.19,53.85,60.8,7,Non-Leak,0
5024,184.93,22.25,83.52,0.74,34.74,337.97,55.69,8,Small,1
5025,0.89,24.9,101.0,0.04,9.18,53.5,60.71,9,Non-Leak,0
5026,709.6,21.27,76.23,1.72,50.19,608.2,52.88,10,Medium,1
5027,0.53,24.93,100.41,0.06,9.52,51.38,61.03,11,Non-Leak,0
5028,1107.47,19.84,60.2,2.65,73.97,799.19,44.53,12,Large,1
5029,0.82,25.79,100.22,0.05,9.21,51.7,61.03,1,Non-Leak,0
5030,163.71,22.56,84.77,0.77,30.72,348.41,55.09,2,Small,1
5031,0.31,25.77,100.9,0.05,9.64,51.88,61.02,3,Non-Leak,0
5032,686.47,20.76,75.7,1.76,50.96,620.15,52.43,4,Medium,1
5033,0.81,25.4,100.35,0.05,9.28,56.89,60.71,5,Non-Leak,0
5034,1141.81,18.9,59.99,2.37,73.41,783.65,45.89,6,Large,1
5035,0.59,25.07,100.32,0.06,10.04,54.63,61.09,7,Non-Leak,0
5036,181.22,22.44,84.38,0.89,30.07,331.23,54.87,8,Small,1
5037,0.55,25.52,100.27,0.05,10.48,52.14,60.87,9,Non-Leak,0
5038,719.1,21.23,76.36,1.73,51.19,603.73,52.87,10,Medium,1
5039,0.77,25.17,100.85,0.04,10.91,58.53,60.99,11,Non-Leak,0
5040,1078.98,19.76,59.36,2.39,73.57,848.42,43.87,12,Large,1
5041,0.45,25.89,100.8,0.04,9.24,52.62,60.95,1,Non-Leak,0
5042,188.88,22.56,83.96,0.83,31.82,325.82,55.19,2,Small,1
5043,0.7,25.72,100.84,0.07,10.05,57.55,60.85,3,Non-Leak,0
5044,673.13,21.46,75.42,1.77,50.87,604.31,53.43,4,Medium,1
5045,0.76,25.8,100.2,0.05,9.07,52.04,61.0,5,Non-Leak,0
5046,1175.44,19.89,61.63,2.67,75.24,821.57,45.91,6,Large,1
5047,0.66,25.6,100.48,0.05,10.85,54.01,60.81,7,Non-Leak,0
5048,184.39,22.47,83.91,0.86,34.56,336.4,54.97,8,Small,1
5049,0.64,24.79,100.52,0.05,9.51,53.07,60.7,9,Non-Leak,0
5050,679.47,21.47,75.34,1.51,50.08,608.05,53.28,10,Medium,1
5051,0.66,25.51,100.85,0.04,10.03,56.38,60.95,11,Non-Leak,0
5052,1050.82,18.57,61.33,2.56,74.89,770.2,44.22,12,Large,1
5053,0.89,25.68,100.53,0.06,9.32,50.89,60.7,1,Non-Leak,0
5054,183.09,22.5,84.28,0.86,31.14,353.17,55.07,2,Small,1
5055,0.84,25.52,100.25,0.04,9.73,55.94,60.95,3,Non-Leak,0
5056,701.58,21.21,75.76,1.74,51.27,627.66,53.07,4,Medium,1
5057,0.86,24.79,100.59,0.04,10.67,58.37,60.93,5,Non-Leak,0
5058,1111.56,18.19,59.05,2.43,72.96,824.14,45.82,6,Large,1
5059,0.4,25.48,100.04,0.05,9.47,59.32,60.73,7,Non-Leak,0
5060,182.08,22.3,83.98,0.88,31.32,331.01,55.49,8,Small,1
5061,0.36,25.51,100.49,0.05,9.53,59.51,60.92,9,Non-Leak,0
5062,716.2,20.89,76.91,1.75,50.12,624.54,53.03,10,Medium,1
5063,0.37,25.57,100.74,0.06,10.13,55.67,60.79,11,Non-Leak,0
5064,1033.39,19.7,60.67,2.33,72.78,794.59,43.55,12,Large,1
5065,0.71,24.9,100.3,0.05,10.05,50.38,60.84,1,Non-Leak,0
5066,160.05,22.32,84.39,0.76,33.45,318.99,54.56,2,Small,1
5067,0.77,24.84,100.83,0.04,9.97,50.93,60.93,3,Non-Leak,0
5068,651.97,21.17,77.93,1.58,50.33,606.04,52.8,4,Medium,1
5069,0.55,25.45,100.99,0.06,10.82,53.48,60.76,5,Non-Leak,0
5070,1112.31,18.32,60.42,2.76,73.22,849.79,44.48,6,Large,1
5071,0.37,25.58,100.42,0.06,10.04,50.96,60.89,7,Non-Leak,0
5072,199.58,22.94,83.52,0.75,30.15,346.32,55.92,8,Small,1
5073,0.42,25.23,100.68,0.04,9.62,52.28,60.99,9,Non-Leak,0
5074,687.61,20.86,77.12,1.65,51.97,623.94,52.26,10,Medium,1
5075,0.84,25.62,100.54,0.06,9.22,57.6,60.86,11,Non-Leak,0
5076,1121.52,19.84,60.04,2.47,73.44,802.83,44.99,12,Large,1
5077,0.76,24.97,100.54,0.07,10.22,57.45,61.03,1,Non-Leak,0
5078,167.9,22.84,84.52,0.88,33.17,314.62,55.14,2,Small,1
5079,0.9,24.85,100.99,0.05,10.48,59.78,60.91,3,Non-Leak,0
5080,691.75,20.61,77.06,1.64,50.14,613.54,53.37,4,Medium,1
5081,0.41,25.0,100.68,0.06,9.7,53.97,60.82,5,Non-Leak,0
5082,1121.36,18.31,59.54,2.69,73.4,834.41,43.68,6,Large,1
5083,0.34,25.84,100.8,0.05,10.38,56.31,60.93,7,Non-Leak,0
5084,171.18,22.37,83.0,0.75,34.39,328.7,55.79,8,Small,1
